phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1519859799275,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.183538,55.9447169,144.6999969482422,11.017,44,5077
1519859806345,31.43604,34.281483,36.634384,0.0,0.0,1857,178,39,13,6,1,2,0,0,1,0,0,0,0,0,0,2097,-3.183538,55.9447169,144.6999969482422,11.017,2,818
1519859814197,26.29023,29.150925,50.893982,0.0,0.0,1719,193,55,13,3,6,2,1,0,0,0,0,0,1,0,1,1994,-3.1835374,55.9447162,144.6999969482422,15.876,4,1287
1519859822473,24.313398,26.89116,32.249462,0.0,0.0,1635,179,52,16,3,5,0,0,0,1,1,0,0,0,0,0,1892,-3.1835422,55.9447144,144.8000030517578,15.208,6,0
1519859832850,152.96292,773.50494,8335.842,0.0,0.0,1703,1608,2386,3190,2468,3701,3787,2115,1040,756,352,203,93,58,26,37,23523,-3.1835491,55.9447066,137.89999389648438,14.105,1,0
1519859838689,294.88477,1066.1057,5356.5234,0.0,0.0,2756,3729,5264,5871,4200,5244,4351,2084,922,590,196,113,35,7,2,12,35376,-3.1835433,55.9447129,137.89999389648438,13.439,1,0
1519859846473,288.1158,973.93005,7811.9395,20.300001,72.6,3594,3736,4776,5270,3413,4294,3590,1891,844,634,301,204,91,54,24,33,32749,-3.1835378,55.944717,144.6999969482422,14.188,3,0
1519859854906,237.97855,1289.3118,17330.74,20.300001,72.6,1891,2554,3812,5022,4092,5988,6126,3563,1944,1481,764,453,252,100,53,75,38170,-3.1835378,55.944717,144.6999969482422,14.188,2,1
1519859862692,242.65118,1369.9613,11176.957,20.300001,72.6,1130,2317,4209,6092,5237,7470,7173,3712,1860,1265,469,217,94,53,24,49,41371,-3.1835345,55.9447073,144.8000030517578,15.852,2,1
1519859870478,280.7372,897.0142,4718.258,20.300001,72.6,3688,4104,5240,5309,3549,4181,3547,1791,775,492,183,93,54,17,6,14,33043,-3.1835551,55.944695,144.8000030517578,14.352,1,1
1519859878912,275.75052,738.7908,2958.9714,20.300001,72.6,4568,4119,4660,4333,2649,2847,2299,1210,463,286,102,59,24,5,1,4,27629,-3.1835587,55.9446818,144.8000030517578,14.587,0,0
1519859887351,264.05347,693.8656,2295.5933,20.300001,72.6,4603,3999,4367,4178,2261,2656,2164,1098,461,226,87,34,5,1,0,2,26142,-3.1835545,55.9446822,144.8000030517578,12.678,0,0
1519859895138,262.8043,659.3836,2199.6924,20.300001,72.6,4541,3881,4141,3882,2162,2279,1888,885,362,205,58,35,15,3,1,0,24338,-3.1835517,55.9446843,144.8000030517578,11.168,0,0
1519859904217,252.19234,619.19617,2104.4194,20.300001,72.6,5039,4086,4322,4023,2237,2374,1872,896,330,202,70,38,17,4,2,2,25514,-3.1835519,55.9446834,144.8000030517578,10.848,0,1
1519859912687,245.92761,602.6609,2092.863,20.5,72.200005,4457,3498,3661,3247,1849,1945,1586,778,335,212,50,28,13,5,1,2,21667,-3.1835481,55.9446763,144.8000030517578,10.467,0,0
1519859919149,244.07117,587.9687,1812.5353,20.5,72.200005,4432,3384,3619,3124,1866,1940,1479,733,274,142,51,28,9,1,0,2,21084,-3.1835471,55.9446745,144.8000030517578,10.363,0,1
1519859928221,243.45738,584.4078,1730.4526,20.5,72.200005,5044,3747,4070,3562,1922,2116,1669,838,299,170,53,29,4,2,0,1,23526,-3.1835482,55.94467,144.8000030517578,10.218,0,0
1519859936006,252.9239,620.5408,2047.1641,20.5,72.200005,4605,3849,3968,3468,1939,2248,1706,852,329,187,45,32,15,5,1,1,23250,-3.1835481,55.9446699,144.8000030517578,10.164,0,0
1519859945092,241.46991,578.9274,1676.6044,20.5,72.200005,5028,3885,4065,3510,2041,2192,1679,823,301,159,40,22,9,3,0,3,23760,-3.1835462,55.9446735,144.8000030517578,10.15,0,0
1519859952872,236.80788,564.3424,1624.2306,20.5,72.200005,4886,3657,3926,3533,1906,2089,1612,712,280,169,51,17,8,2,1,0,22849,-3.1835436,55.944686,144.8000030517578,10.113,0,0
1519859961307,237.8171,562.7635,1504.6235,20.5,72.200005,4763,3818,3924,3524,1881,2057,1615,700,290,137,38,16,5,2,0,2,22772,-3.1835458,55.9446848,144.8000030517578,10.1,0,0
1519859969763,236.39465,573.8551,1696.0209,20.5,72.200005,4974,3960,4210,3568,2010,2212,1767,886,359,169,46,32,5,1,0,0,24199,-3.1835488,55.9446832,144.8000030517578,10.11,0,0
1519859978819,234.12775,555.9336,1690.9019,20.5,72.200005,4984,3684,3980,3453,1860,1929,1602,777,312,185,59,15,9,4,0,1,22854,-3.1835577,55.9446773,144.6999969482422,11.354,0,0
1519859987253,227.8332,518.3416,1362.066,20.6,72.3,5308,3767,3748,3316,1760,1846,1404,672,271,154,29,12,3,2,1,2,22295,-3.1835664,55.9446713,144.8000030517578,10.619,0,0
1519859996335,260.51486,727.3448,3886.6257,20.6,72.3,4660,4159,4800,4597,2804,3127,2618,1294,592,386,150,89,46,25,6,16,29369,-3.1835619,55.9446789,144.6999969482422,10.481,0,1
1519860004137,292.22,920.70447,4490.393,20.6,72.3,3750,4147,5349,5508,3487,4171,3437,1762,788,501,161,95,26,14,9,12,33217,-3.1835589,55.9446841,144.8000030517578,10.372,0,0
1519860013852,238.83476,564.8342,1671.7284,20.6,72.3,4826,3652,3924,3423,1939,1946,1550,733,288,143,51,30,6,1,1,1,22514,-3.1835515,55.9446928,144.8000030517578,10.201,0,0
1519860020344,224.03412,513.4088,1428.0798,20.6,72.3,4939,3551,3717,3052,1687,1790,1360,681,263,132,43,21,4,2,0,0,21242,-3.183547,55.9446968,144.8000030517578,10.17,0,0
1519860028780,216.35027,502.09924,1331.7036,20.6,72.3,4762,3397,3356,3029,1617,1770,1352,656,255,125,33,15,4,0,0,1,20372,-3.1835563,55.9446936,144.8000030517578,10.132,0,0
1519860036562,218.95723,504.0573,1419.2006,20.6,72.3,4688,3428,3575,3081,1608,1837,1318,605,265,132,32,22,7,2,0,0,20600,-3.183551,55.9446974,144.8000030517578,10.114,0,0
1519860044997,221.29362,505.24442,1333.9253,20.6,72.3,4779,3269,3454,2987,1591,1702,1339,572,205,127,30,18,4,2,0,0,20079,-3.1835505,55.9447011,145.1999969482422,10.103,0,0
1519860055378,223.06975,510.01526,1353.2059,20.7,71.700005,5067,3513,3761,3136,1698,1865,1414,629,238,124,38,14,5,4,0,1,21507,-3.1835511,55.9446997,144.8000030517578,10.091,0,1
1519860061863,228.32498,527.19055,1391.4958,20.7,71.700005,5147,3627,3947,3379,1957,1894,1479,670,266,129,38,20,4,1,0,1,22559,-3.1835563,55.9446951,144.8000030517578,11.363,0,0
1519860070323,228.29605,533.4604,1617.4141,20.7,71.700005,4977,3567,3827,3262,1716,1904,1475,715,297,144,53,19,10,3,1,3,21973,-3.1835503,55.9446961,144.8000030517578,10.617,0,0
1519860078086,227.82446,534.6577,1465.7163,20.7,71.700005,4740,3418,3486,3038,1694,1792,1438,690,265,130,38,22,1,1,0,1,20754,-3.1835544,55.9446889,144.8000030517578,10.43,0,0
1519860085866,226.94862,517.14325,1318.023,20.7,71.700005,4804,3446,3697,3053,1649,1760,1339,642,217,116,35,15,3,1,1,0,20778,-3.1835544,55.9446889,144.8000030517578,10.43,0,0
1519860094299,226.46518,508.93597,1263.9489,20.7,71.700005,5018,3508,3702,3195,1544,1755,1311,603,232,118,27,15,0,3,1,0,21032,-3.1835544,55.9446889,144.8000030517578,10.43,0,0
1519860102732,222.84344,499.20212,1129.8755,20.7,71.700005,4861,3378,3359,2854,1535,1582,1315,561,197,102,12,6,3,1,1,0,19767,-3.1835544,55.9446889,144.8000030517578,10.43,0,0
1519860110528,223.28578,492.1564,1129.9364,20.7,71.700005,4846,3432,3378,2814,1516,1528,1195,569,196,88,30,9,1,0,0,0,19602,-3.1835544,55.9446889,144.8000030517578,10.43,0,0
1519860118953,218.47871,484.32892,1080.354,20.7,71.700005,5201,3500,3543,3027,1593,1601,1294,604,211,89,25,5,2,1,0,0,20696,-3.183544,55.9446813,144.8000030517578,15.704,0,0
1519860128033,225.63118,511.1063,1235.1544,20.800001,71.0,5385,3824,4037,3375,1777,1888,1434,711,257,139,29,12,1,0,0,0,22869,-3.1835648,55.9446792,144.8000030517578,11.908,0,0
1519860136466,226.28036,513.1912,1281.4285,20.800001,71.0,5110,3599,3662,2991,1658,1791,1386,643,250,111,32,15,3,0,0,0,21251,-3.1835604,55.9446889,144.6999969482422,11.269,0,0
1519860144903,214.27092,461.61426,1094.1947,20.800001,71.0,5442,3555,3386,2876,1516,1478,1217,523,205,95,20,13,5,0,0,0,20331,-3.1835508,55.9446962,144.8000030517578,10.654,0,0
1519860154644,198.71265,417.3172,882.3047,20.800001,71.0,5364,3226,3263,2576,1249,1318,1058,501,164,78,13,6,1,1,0,0,18818,-3.1835463,55.9446994,144.8000030517578,10.49,0,0
1519860164362,189.01855,386.1161,750.7781,20.800001,71.0,5189,3076,2958,2323,1159,1124,899,433,153,63,7,3,0,0,0,0,17387,-3.1835545,55.944693,144.8000030517578,10.275,0,0
1519860172808,200.05284,426.23083,895.1406,20.800001,71.0,5218,3259,3264,2700,1378,1470,1031,522,167,66,16,7,2,0,0,0,19100,-3.1835453,55.9446999,144.8000030517578,10.196,0,0
1519860180597,197.34157,435.26093,1011.3418,20.800001,71.0,4933,3172,3338,2683,1361,1447,1170,594,205,89,23,7,2,1,0,0,19025,-3.1835407,55.9447024,145.1999969482422,10.184,0,0
1519860189019,213.01706,475.03052,1114.2242,20.800001,71.0,4895,3367,3451,2957,1556,1553,1247,574,224,99,16,9,4,1,0,0,19953,-3.1835428,55.9446991,144.8000030517578,10.141,0,0
1519860198103,212.79884,477.8975,1115.1013,20.800001,71.0,5431,3632,3800,3111,1698,1734,1442,644,239,107,21,10,4,0,0,0,21873,-3.1835433,55.9447036,144.8000030517578,10.122,0,0
1519860205882,196.4026,418.8001,904.14703,21.0,71.1,4936,3013,3158,2458,1292,1365,1017,462,169,67,21,3,4,0,0,0,17965,-3.183542,55.944704,144.8000030517578,10.121,0,0
1519860214327,188.05486,388.25455,777.5378,21.0,71.1,4668,2949,2770,2156,1082,1177,874,385,145,51,13,4,1,0,0,0,16275,-3.1835621,55.9446888,144.8000030517578,10.053,0,0
1519860223402,199.09142,414.0045,843.3271,21.0,71.1,5244,3295,3310,2601,1288,1377,974,458,164,66,16,4,1,1,0,0,18799,-3.1835583,55.9446916,144.8000030517578,10.036,0,0
1519860232489,204.2342,444.6222,944.7129,21.0,71.1,5369,3283,3388,2808,1464,1510,1196,554,199,79,21,5,0,0,0,0,19876,-3.1835645,55.944683,144.8000030517578,10.0,0,0
1519860242216,198.96242,424.83093,975.12787,21.0,71.1,4901,3109,3216,2453,1205,1338,1024,506,193,76,23,6,3,1,0,0,18054,-3.183559,55.9446825,144.8000030517578,10.02,0,0
1519860248700,214.2964,474.21484,1135.6998,21.0,71.1,4873,3287,3371,2775,1449,1517,1188,554,214,114,20,12,1,0,0,0,19375,-3.1835548,55.9446889,144.8000030517578,10.025,0,0
1519860256488,217.30054,491.4999,1174.569,21.0,71.1,5079,3354,3442,2944,1510,1623,1322,631,243,124,19,9,1,0,0,0,20301,-3.1835482,55.9446946,144.8000030517578,10.03,0,0
1519860264919,213.97633,471.8395,1075.5299,21.0,71.1,4905,3292,3233,2710,1366,1521,1139,574,227,87,21,7,1,0,0,0,19083,-3.1835742,55.9446749,144.8000030517578,10.064,0,0
1519860272704,207.24239,466.5084,1155.6603,21.1,70.8,4926,3172,3322,2745,1427,1572,1220,616,231,109,24,8,5,0,0,0,19377,-3.1835876,55.9446655,144.8000030517578,11.123,0,0
1519860281143,211.16496,475.068,1188.5859,21.1,70.8,5020,3354,3527,2925,1518,1599,1343,597,225,115,25,13,4,1,0,0,20266,-3.1835876,55.9446655,144.8000030517578,11.123,0,0
1519860289578,213.27267,473.7556,1077.3821,21.1,70.8,5044,3380,3406,2872,1476,1544,1231,601,227,113,18,3,2,0,0,0,19917,-3.1835395,55.9447038,144.8000030517578,13.243,0,0
1519860298011,204.42868,436.19046,917.09406,21.1,70.8,5044,3215,3098,2620,1287,1408,1007,492,200,68,18,3,1,0,0,0,18461,-3.1835439,55.944705,144.8000030517578,12.041,0,0
1519860305811,204.66902,436.08084,951.6138,21.1,70.8,4733,3081,2883,2324,1253,1329,949,471,181,62,17,8,0,1,0,0,17292,-3.1835609,55.9446903,144.8000030517578,11.324,0,0
1519860312930,207.06325,451.53168,1021.69073,21.1,70.8,4561,2808,2852,2361,1163,1275,1005,491,186,86,13,5,1,0,1,0,16808,-3.1835609,55.9446903,144.8000030517578,11.324,0,0
1519860322008,222.16452,502.8674,1298.86,21.1,70.8,4896,3339,3392,2854,1450,1609,1244,638,267,128,27,13,2,0,0,0,19859,-3.1835706,55.9446732,144.8000030517578,15.764,0,0
1519860329797,212.92949,471.8971,1092.0634,21.1,70.8,5000,3186,3383,2778,1503,1491,1148,612,215,98,20,6,2,1,0,0,19443,-3.1835706,55.9446732,144.8000030517578,15.764,0,0
1519860337596,210.7648,466.01147,1139.8204,21.1,70.8,4617,3135,3058,2559,1333,1369,1158,491,224,105,27,6,2,1,0,0,18085,-3.1835588,55.9446701,144.8000030517578,15.7,0,0
1519860346661,213.62949,478.04388,1164.8477,21.2,70.5,5005,3255,3324,2851,1480,1571,1208,614,222,104,20,13,3,0,0,0,19670,-3.183548,55.9446879,144.8000030517578,13.172,0,0
1519860353805,207.03778,447.45917,1053.5381,21.2,70.5,4807,3106,3214,2489,1397,1402,1047,506,167,88,23,10,1,3,0,0,18260,-3.1835582,55.944688,144.8000030517578,11.256,0,0
1519860362236,194.3036,406.05243,860.43695,21.2,70.5,4858,2823,2818,2295,1123,1206,922,404,142,59,13,5,3,0,1,0,16672,-3.1835695,55.9446803,144.8000030517578,10.823,0,0
1519860370668,191.99579,405.6244,871.2712,21.2,70.5,4690,2733,2725,2224,1069,1140,916,443,165,52,12,10,0,0,0,0,16179,-3.1835606,55.944692,144.8000030517578,10.433,0,0
1519860379747,200.71126,431.84946,969.69543,21.2,70.5,5104,3009,3202,2561,1286,1343,1076,503,180,99,17,5,2,0,0,0,18387,-3.183563,55.9446893,144.8000030517578,10.305,11,0
1519860386884,183.82979,377.0522,884.6994,21.2,70.5,4842,2755,2743,2258,1083,1099,819,350,153,76,17,9,4,0,1,0,16209,-3.1835664,55.9446853,145.1999969482422,10.22,22,0
1519860395964,177.68799,382.4127,938.776,21.2,70.5,4569,2671,2645,2144,1077,1138,960,465,168,79,14,12,4,0,0,0,15946,-3.1835649,55.9446817,144.8000030517578,10.175,21,0
1519860404401,264.1725,772.7531,3338.3281,21.2,70.5,4263,3922,4839,4841,2870,3369,2789,1480,639,366,136,66,24,5,3,3,29615,-3.1835679,55.9446756,144.8000030517578,10.153,10,0
1519860412185,286.08945,840.55383,3288.235,21.300001,70.0,4054,4299,5199,5460,3326,3807,3105,1408,595,370,132,58,16,9,1,2,31841,-3.1835931,55.9446362,144.8000030517578,15.782,10,0
1519860420618,284.01877,809.9505,2664.5486,21.300001,70.0,4108,4108,5057,5197,3054,3477,2829,1296,533,293,99,28,9,2,1,1,30092,-3.1835951,55.9446471,144.8000030517578,11.974,20,0
1519860429056,251.71906,614.9185,1831.3304,21.300001,70.0,5013,4010,4445,4151,2233,2365,1797,881,358,190,47,23,9,5,2,0,25529,-3.1835491,55.9446908,144.8000030517578,18.487,25,0
1519860437488,241.06682,592.05475,1834.0862,21.300001,70.0,4966,3893,4264,3802,2060,2261,1850,842,380,204,67,26,5,0,1,3,24624,-3.1835846,55.9446768,144.8000030517578,18.406,25,0
1519860445920,237.64218,566.53754,1604.9192,21.300001,70.0,4835,3588,4035,3566,1916,2008,1572,777,284,157,51,22,3,3,0,0,22817,-3.1835397,55.9447058,144.8000030517578,18.495,25,0
1519860453723,222.67798,500.2665,1288.3256,21.300001,70.0,4952,3395,3535,2958,1523,1722,1241,616,221,113,31,14,5,1,0,1,20328,-3.183611,55.9446529,145.1999969482422,18.911,25,0
1519860462148,229.55415,525.1585,1404.144,21.300001,70.0,5112,3601,3751,3215,1722,1863,1414,664,246,121,30,24,4,2,0,1,21770,-3.1835904,55.9446651,144.8000030517578,18.527,25,0
1519860470580,227.22421,509.41968,1337.6594,21.300001,70.0,4921,3397,3665,3006,1583,1609,1338,574,204,127,29,16,6,1,0,2,20478,-3.1835439,55.9446812,144.8000030517578,18.55,25,0
1519860479014,223.38448,483.77057,1134.087,21.300001,70.0,5077,3442,3554,2867,1513,1596,1148,543,157,89,20,18,3,0,1,0,20028,-3.183554,55.9446848,144.8000030517578,18.554,25,0
1519860487449,217.59293,482.12277,1025.777,21.4,69.5,5278,3435,3515,2983,1574,1618,1301,584,220,80,11,5,2,1,0,0,20607,-3.1835368,55.9447061,144.8000030517578,18.66,25,0
1519860496526,222.32074,492.55045,1186.8402,21.4,69.5,4783,3167,3416,2730,1466,1569,1144,540,217,85,23,12,3,2,0,0,19157,-3.1835432,55.9446927,144.8000030517578,18.641,25,0
1519860503711,226.34717,515.9375,1228.207,21.4,69.5,4924,3405,3549,3123,1653,1673,1357,644,236,87,29,9,5,0,0,0,20694,-3.1835492,55.9446913,144.8000030517578,18.569,25,0
1519860511449,229.1836,502.3237,1109.2866,21.4,69.5,4878,3281,3522,2818,1469,1542,1190,540,163,95,22,7,1,1,0,0,19529,-3.1836152,55.9446482,144.8000030517578,18.98,25,0
1519860519232,204.44025,433.67715,941.57025,21.4,69.5,4820,3023,3007,2517,1228,1259,983,460,158,73,23,4,1,0,1,0,17557,-3.1835799,55.9446613,144.8000030517578,18.572,25,0
1519860527675,209.97974,447.79742,998.52264,21.4,69.5,4810,3107,3075,2504,1302,1311,991,454,195,81,16,7,1,0,1,0,17855,-3.1835384,55.9447044,144.8000030517578,18.598,25,0
1519860535455,225.15698,501.07776,1137.2754,21.4,69.5,4880,3223,3392,2885,1437,1588,1197,565,211,87,24,7,2,0,0,0,19498,-3.1835569,55.9446805,144.8000030517578,18.444,25,0
1519860543881,249.11067,570.99713,1397.6029,21.4,69.5,4931,3517,3668,3165,1677,1793,1409,653,238,109,26,8,7,0,1,0,21202,-3.1835911,55.9446689,144.8000030517578,18.518,25,0
1519860551020,238.21477,565.8274,1429.7236,21.5,69.6,4731,3467,3767,3247,1708,1829,1539,818,251,128,30,14,0,2,0,0,21531,-3.1835702,55.9446839,144.8000030517578,14.166,25,0
1519860560101,232.97363,540.8929,1291.6873,21.5,69.6,4959,3611,3856,3304,1793,1853,1506,691,287,105,21,14,1,1,0,0,22002,-3.1835837,55.9446713,144.8000030517578,12.447,25,0
1519860567888,236.43079,553.63745,1259.6273,21.5,69.6,4754,3612,3713,3187,1737,1939,1488,730,253,96,27,5,1,0,1,0,21543,-3.1835728,55.9446765,144.8000030517578,11.564,25,0
1519860575679,258.6759,626.12,1459.0637,21.5,69.6,5220,4169,4718,4140,2283,2494,1936,875,316,145,32,10,0,0,0,0,26338,-3.1835645,55.9446817,144.8000030517578,11.051,25,0
1519860584113,244.5787,564.567,1258.2722,21.5,69.6,5102,3700,4099,3388,1858,1979,1501,704,276,108,21,6,1,0,0,0,22743,-3.1835583,55.9446923,144.8000030517578,10.712,25,0
1519860591890,232.46916,513.2552,1130.0531,21.5,69.6,5214,3523,3756,3130,1678,1668,1310,553,213,79,19,11,2,1,0,0,21157,-3.1835835,55.9446728,144.8000030517578,10.384,25,0
1519860600983,235.18552,529.11145,1165.8312,21.5,69.6,5361,3712,3954,3290,1745,1808,1450,659,233,100,15,11,0,1,0,0,22339,-3.1835742,55.9446795,144.8000030517578,10.231,25,0
1519860609407,232.74223,521.31244,1187.0718,21.5,69.6,5109,3515,3784,3092,1612,1724,1328,650,212,92,23,10,3,0,0,0,21154,-3.1835833,55.9446697,144.8000030517578,10.119,25,0
1519860618491,237.06117,526.9883,1123.7661,21.5,69.6,5303,3677,3959,3242,1667,1737,1396,618,227,85,25,5,0,0,1,0,21942,-3.1835699,55.9446803,144.8000030517578,10.101,25,0
1519860625687,234.03882,526.3307,1091.8336,21.6,69.3,4943,3514,3794,3113,1683,1754,1325,624,219,83,17,4,0,0,0,0,21073,-3.1835611,55.9446904,145.1999969482422,10.113,24,0
1519860633413,232.659,525.6363,1173.8278,21.6,69.3,4664,3208,3412,2873,1496,1633,1253,590,201,77,21,7,1,2,0,0,19438,-3.1835569,55.944692,144.8000030517578,10.096,25,0
1519860641201,232.35721,509.13275,1027.2037,21.6,69.3,4899,3437,3625,2981,1555,1572,1227,552,180,57,14,5,2,0,1,0,20107,-3.1835928,55.9446648,144.8000030517578,18.543,24,0
1519860648985,223.55516,493.8048,1109.1498,21.6,69.3,4728,3059,3229,2659,1373,1509,1111,525,188,97,19,6,1,0,0,0,18504,-3.1835461,55.9446921,144.8000030517578,18.553,24,0
1519860656765,226.30098,502.3357,1067.1572,21.6,69.3,4928,3386,3559,2815,1567,1593,1253,595,202,79,18,5,1,0,0,0,20001,-3.1835716,55.9446883,144.8000030517578,18.503,24,0
1519860664551,230.4657,530.1164,1295.7544,21.6,69.3,4589,3303,3457,2871,1534,1635,1300,662,255,112,26,7,2,0,0,1,19754,-3.1835434,55.9447168,145.1999969482422,18.68,22,0
1519860672985,192.10895,410.38455,919.3307,21.6,69.3,4734,2920,2931,2424,1234,1245,985,461,161,71,18,9,1,1,0,0,17195,-3.1835366,55.9447168,145.1999969482422,18.592,17,0
1519860680768,191.93082,414.5597,1014.42804,21.6,69.3,4367,2800,2866,2311,1108,1258,897,499,173,83,28,8,2,1,0,0,16401,-3.1835382,55.9447184,145.1999969482422,18.601,23,0
1519860688554,199.578,428.98965,909.8895,21.6,69.6,4362,2834,2888,2306,1211,1227,957,454,157,54,16,7,1,0,0,0,16474,-3.1836235,55.9446404,144.8000030517578,19.05,25,0
1519860696339,190.29758,405.66202,860.2975,21.6,69.6,4376,2670,2729,2271,1067,1240,875,389,169,64,17,4,0,0,0,0,15871,-3.1835542,55.9446948,144.8000030517578,18.574,24,0
1519860704779,192.38062,403.2219,830.23584,21.6,69.6,4783,2933,2903,2357,1159,1247,911,437,136,66,17,5,0,0,0,0,16954,-3.1835474,55.9446914,144.8000030517578,18.639,24,0
1519860712593,189.47467,395.52075,831.1506,21.6,69.6,4387,2672,2675,2110,1058,1165,790,396,144,46,12,6,2,0,0,1,15464,-3.1835388,55.944716,145.1999969482422,18.748,24,0
1519860720346,184.11505,385.09488,824.40027,21.6,69.6,4011,2512,2560,2077,971,993,797,367,121,58,11,8,1,0,0,0,14487,-3.1835558,55.9446988,145.1999969482422,18.619,24,0
1519860728131,186.1007,390.81073,856.4713,21.6,69.6,4122,2507,2603,1994,1059,1126,776,343,142,60,24,4,0,1,0,0,14761,-3.1835436,55.9447141,144.8000030517578,18.622,24,0
1519860735279,187.07787,393.48758,859.3569,21.6,69.6,4313,2576,2557,1991,1106,1055,818,393,145,67,13,6,0,0,1,0,15041,-3.1835576,55.9446941,144.8000030517578,18.526,24,0
1519860743051,187.98608,403.3119,913.3294,21.6,69.6,4257,2637,2682,2185,1078,1185,859,445,160,66,10,10,2,0,0,0,15576,-3.1835549,55.9446803,144.8000030517578,18.47,24,0
1519860751493,185.48611,387.61874,818.8495,21.6,69.6,4450,2672,2687,2180,1116,1148,850,368,120,57,15,7,2,0,0,0,15672,-3.1836442,55.9446235,144.8000030517578,19.043,24,0
1519860759919,182.69342,381.30383,766.13904,21.7,69.0,4842,2729,2772,2202,1113,1162,902,413,136,56,10,3,2,0,0,0,16342,-3.1835806,55.9446755,145.1999969482422,14.348,24,0
1519860767703,184.2753,385.37094,868.8625,21.7,69.0,4211,2562,2609,2055,1026,1044,832,370,114,66,17,5,2,3,0,0,14916,-3.1835594,55.9446907,144.8000030517578,12.497,24,0
1519860775497,178.25365,368.54172,771.7194,21.7,69.0,4340,2629,2489,1913,1053,1050,785,355,140,49,13,3,1,2,0,0,14822,-3.1835575,55.9446866,144.8000030517578,11.57,24,0
1519860783920,174.88194,361.46347,727.2916,21.7,69.0,4431,2673,2695,2152,1070,1078,809,359,131,55,15,1,2,0,0,0,15471,-3.1835775,55.9446736,144.6999969482422,11.16,24,0
1519860791708,175.21245,358.43726,663.01404,21.7,69.0,4280,2524,2421,1915,979,982,756,336,112,45,4,2,0,0,0,0,14356,-3.1835645,55.9446831,144.8000030517578,10.542,24,0
1519860799493,172.88916,361.07776,726.49896,21.7,69.0,4033,2417,2374,1931,954,1013,768,343,122,48,8,4,1,0,0,0,14016,-3.1835638,55.9446801,144.8000030517578,10.384,24,0
1519860807285,169.53062,350.78027,770.5425,21.7,69.0,4286,2402,2382,1911,950,1021,754,338,123,53,15,6,2,1,0,0,14244,-3.1835668,55.944679,144.8000030517578,10.282,24,0
1519860815063,173.89815,358.9225,775.26965,21.7,69.0,4127,2404,2326,1897,835,986,724,362,110,58,15,4,0,2,0,0,13850,-3.1835615,55.9446799,144.8000030517578,10.167,24,0
1519860822860,170.00366,350.73355,720.994,21.800001,68.0,4143,2405,2338,1858,955,992,728,333,114,55,8,5,1,0,0,0,13935,-3.1835612,55.9446779,144.8000030517578,10.145,24,0
1519860830661,171.33464,347.24307,736.13055,21.800001,68.0,4063,2393,2277,1805,877,866,696,304,115,48,12,4,3,0,0,0,13463,-3.1835628,55.9446811,144.8000030517578,10.115,24,0
1519860838421,169.01064,348.17285,761.30115,21.800001,68.0,4100,2374,2312,1888,889,955,716,356,99,53,12,10,0,1,0,0,13765,-3.1835783,55.9446637,144.8000030517578,10.015,24,0
1519860845554,169.72913,348.20517,725.5679,21.800001,68.0,3998,2303,2294,1887,886,907,705,310,104,53,11,7,0,0,0,0,13465,-3.1835715,55.9446729,144.8000030517578,10.0,24,0
1519860853342,169.52357,346.25983,730.74664,21.800001,68.0,3901,2216,2225,1741,799,871,687,319,84,48,17,5,0,1,0,0,12914,-3.1835715,55.9446729,144.8000030517578,10.0,24,0
1519860861122,167.95271,338.09927,653.80994,21.800001,68.0,4375,2431,2419,1810,951,915,706,324,111,31,12,4,1,0,0,0,14090,-3.1836202,55.9446438,144.8000030517578,16.172,24,0
1519860868913,163.138,327.27264,667.81714,21.800001,68.0,4049,2366,2303,1713,888,855,673,282,95,58,7,4,1,0,0,1,13295,-3.1835838,55.944668,144.8000030517578,13.301,24,0
1519860876706,161.2271,324.65024,654.05206,21.800001,68.0,4211,2274,2163,1789,846,866,644,333,84,45,14,2,1,0,0,1,13273,-3.1836003,55.9446564,144.8000030517578,12.144,24,0
1519860885786,167.61751,335.71802,661.2118,21.800001,68.0,4262,2370,2428,1867,912,888,663,285,118,48,9,3,1,0,0,0,13854,-3.1835708,55.944673,144.8000030517578,10.865,24,0
1519860893562,161.74924,324.23087,621.3498,21.9,67.9,4230,2376,2306,1813,880,917,656,317,87,37,10,1,2,0,1,0,13633,-3.1835815,55.9446653,144.8000030517578,10.677,24,0
1519860902668,165.69255,327.00546,624.8452,21.9,67.9,4245,2413,2254,1793,830,871,635,261,101,46,8,2,1,0,0,0,13460,-3.1835558,55.9446878,144.8000030517578,10.347,24,0
1519860909783,164.86372,328.1734,625.92505,21.9,67.9,4288,2422,2310,1847,880,922,642,289,96,47,5,2,1,1,0,0,13752,-3.1835521,55.9446894,144.8000030517578,10.255,24,0
1519860916922,160.41473,322.81323,594.68317,21.9,67.9,4105,2307,2215,1757,849,924,667,304,69,37,4,4,1,0,0,0,13243,-3.1835474,55.9446946,144.8000030517578,10.215,24,0
